TN	T-P	DIN	NH4	NO3	DIP	PO4
4.561	0.192	4.506	1.614930339	1.604	0.158	0.356370594
2.967	0.082	2.862	1.036339713	1.27	0.032	0.09486833
6.051	0.14	5.959	1.822361106	1.971	0.082	0.228035085
3.327	0.142	3.31	1.283354978	1.089	0.106	0.286356421
3.514	0.123	3.255	1.347961424	1.362	0.078	0.256904652
3.984	0.094	3.796	1.23247718	1.565	0.057	0.184390889
4.242	0.116	4.025	1.30307329	1.605	0.059	0.164316767
4.203	0.115	3.898	1.243784547	1.5	0.043	0.144913767
3.264	0.175	3.129	0.77588659	1.922	0.141	0.347850543
3.286	0.146	3.162	0.863712915	1.877	0.079	0.240831892
2.362	0.16	2.355	0.626099034	1.352	0.126	0.33015148
3.166	0.127	3.067	0.860813569	1.739	0.081	0.250998008
2.572	0.135	2.532	0.577061522	1.919	0.103	0.301662063
3.446	0.089	3.417	0.93434469	1.987	0.06	0.221359436
2.494	0.126	2.404	0.609097693	1.764	0.099	0.301662063
2.895	0.135	2.866	0.7	1.788	0.117	0.333166625
3.036833	0.117	2.832333	0.702020655	1.852167	0.0615	0.219469816
3.201	0.142	2.924	0.834865259	1.478	0.094	0.27202941
2.334	0.181	2.166	0.612372436	1.327	0.108	0.313049517
2.121	0.153	2.017	0.536656315	1.354	0.112	0.314642654
2.513	0.136	2.454	0.654980916	1.635	0.108	0.309838668
2.713	0.082	2.666	0.608276253	1.844	0.048	0.18973666
2.946	0.073	2.664	0.465832588	1.745	0.017	0.04472136
3.292	0.086	2.957	0.589915248	1.828	0.018	0.063245553
3.875	0.116	3.205	0.695701085	2.064	0.018	0.089442719
4.109	0.109	3.671	0.777174369	2.327	0.018	0.031622777
4.572	0.175	3.985	0.999499875	2.24	0.038	0.122474487
5.071	0.099	4.558	1.173030264	2.627	0.019	0.04472136
4.624	0.101	4.359	0.892748565	2.816	0.02	0.083666003
4.519	0.07	4.402	0.857904424	2.856	0.022	0
5.932	0.134	5.71	1.712016355	2.206	0.087	0.258843582
6.489	0.147	6.161	1.644992401	2.721	0.075	0.242899156
6.071	0.116	5.305	1.225969005	3.3	0.017	0.063245553
7.678	0.092	7.487	1.80803761	2.635	0.025	0.054772256
7.606	0.122	6.851	1.582087229	3.719	0.022	0.04472136
8.834	0.33	7.924	1.932356075	3.361	0.079	0.236643191
9.573	0.145	9.296	2.106893448	3.763	0.026	0.089442719
10.037	0.264	9.74	2.524480145	3.242	0.1	0.306594194
8.85	0.201	8.548	2.33430932	3.057	0.088	0.244948974
7.638	0.261	6.813	1.947562579	3.003	0.074	0.234520788
6.231	0.156	5.535	1.607171428	2.886	0.032	0.09486833
8.664	0.128	8.196	2.315815191	2.827	0.035	0.089442719
10.064	0.143	9.405	2.377603836	3.338	0.033	0.077459667
6.501	0.313	5.612	1.578606981	2.297	0.135	0.27202941
5.359	0.201	5.045	1.275931033	2.856	0.087	0.250998008
5.801	0.2	5.137	0.913783344	2.671	0.043	0.141421356
5.385	0.14	4.876	1.38960426	2.234	0.04	0.118321596
2.923	0.179	2.91	0.752329715	1.783	0.058	0.236643191
4.95	0.153	4.594	1.427585374	1.807	0.038	0.151657509
