WT	DO	BOD	COD	TOC	pH	Cond	SS
7.5	16.6	6.4	10.6	7.4	8.4	425	18
6.2	15.1	7.8	14.7	8	8.3	460	18.799999
7	15.5	7.2	11.9	7.8	8.5	454	14.7
9.8	12	6.2	12	7.2	7.5	461	15.6
13.9	8.4	6	11.1	6.9	6.9	502	10.1
12.057143	9.371428	8	9.200001	6.742857	6.8	273.285706	23.157143
12.1	9.8	8.4	9.1	6.7	6.8	242	25.5
13.7	12.6	8	13.1	7.6	8.1	298	17.5
16.799999	8.8	13.2	15.4	6.8	8	362	18.700001
18.799999	6.7	9.2	11.9	7.2	7.7	403	8.9
19.9	6.4	11.6	14	7.8	7.4	399	11.9
19	5.8	8.2	9.5	6.7	7.1	354	8.7
21.5	10.8	15.3	16	9.1	7.6	414	19.799999
20.5	10.6	10.9	13.8	8.7	7.5	455	12.4
23.1	12.8	11.7	15.5	10.8	8.3	446	20.4
24.299999	7.2	7.6	14	7.8	7.6	399	13.8
23	6.4	7.3	12.7	8.4	7	281	14.5
24.6	8	7.4	12.2	8.5	7.2	281	19
25.9	10.8	9.5	15.6	9.7	7.7	357	15.2
27.700001	6.8	4.5	11.9	8	7.3	243	12.9
29.799999	4.1	7	12.6	9.1	7.1	340	15.4
29.6	5.9	7.2	13.1	8.2	7.2	336	21.799999
25.700001	6.6	5.7	7.8	6.2	6.7	216	20.1
25.5	5.5	3.4	7.8	6.2	6.6	215	15.4
26.987501	5.7625	3.75	7.5375	5.675	6.775	250	12.775
30.6	7.3	4.8	11.3	6.7	7.3	279	17.9
28.6	5.9	6.1	8.6	6.2	6.8	297	12.3
28.6	6.7	4.6	8.4	5.5	6.7	239	14.2
26	8.5	4.8	9.3	7.3	7.3	285	15.9
26.1	8.1	4.4	9.6	7.6	7.1	313	24.799999
25.5	13.7	4.9	8.4	5.7	7.3	268	11.8
27.5	7.4	4	8.5	5.9	7.2	334	12.9
22.9	10.1	5.2	9.8	6.5	7.6	321	17.299999
22.1	5.9	6.3	8.5	6.1	6.5	248	17.799999
19	10.3	5	9	6.6	7.4	327	22
19.5	11.5	4.5	9.5	7	7.8	377	18.6
16.799999	11.6	6.8	11.2	7	7.9	417	17.4
16.700001	9.5	3.4	9.2	5.6	7	447	9
14.4	11.6	6.1	12.1	6.3	7.4	455	14
14.9	8.4	5.2	9.5	6.8	6.8	434	12.6
14.3	8.1	5	8.4	5.9	6.8	385	9.4
12.8	9.8	5	9.1	6.1	6.8	424	9.3
7.5	10.4	4.6	9.1	5.8	6.9	450	7.3
7.1	12.6	6.6	9.5	6.2	7.3	491	11.9
